RATING,TITLE,AUTHOR
9,The Bell Jar,Sylvia Plath
6.5,Children of Dune (Dune #3),Frank Herbert
6.5,"Green Grass, Running Water",Thomas King
7,Anam Cara: A Book of Celtic Wisdom,John O'Donohue
7.5,Animalia,Graeme Base
7,A Light in the Attic,Shel Silverstein
5.5,Macbeth,William Shakespeare
6,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss
7.5,Beverly,Nick Drnaso
8.5,Anna Karenina,Leo Tolstoy
6.5,A Wrinkle in Time,Madeleine L'Engle
7.5,Stories of Your Life and Others,Ted Chiang
7.5,Howl,Allen Ginsberg
7.5,How We Fight For Our Lives,Saeed Jones
6,Survivor,Chuck Palahniuk
7.5,Brush Fires in the Social Landscape,"David Wojnarowicz, Cynthia Carr, Fran Leibowitz"
3.5,I'm a Caterpillar,"Jean Marzollo, Judith Moffatt"
7,A Feast for Crows (A Song of Ice and Fire #4),George R. R. Martin
7,The New Testament,Jericho Brown
7.5,Cat's Cradle,Kurt Vonnegut
6.5,Wise Blood,Flannery O'Connor
5.5,"Elden Ring: The Road to the Erdtree, Vol. 1 (The Road to the Erdtree #1)","Nikiichi Tobita, FromSoftware Inc."
8,The Two Towers (The Lord of the Rings #2),J. R. R. Tolkien
6.5,Herland,Charlotte Perkins Gilman
5,The Dark Forest (Remembrance of Earth's Past #2),Cixin Liu